Date,PM2.5 AQI Value,AQI Category,Site Name,Site ID,Source
4/3/15,80,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
4/4/15,134,Unhealthy for Sensitive Groups,Long Beach-Route 710 Near Road,06-037-4008,AQS
4/5/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/6/15,43,Good,Glendora,06-037-0016,AQS
4/7/15,38,Good,Los Angeles-North Main Street,06-037-1103,AQS
4/8/15,40,Good,Anaheim,06-059-0007,AQS
4/9/15,51,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/10/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/11/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/12/15,57,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/13/15,78,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/14/15,77,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/15/15,63,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/16/15,50,Good,Los Angeles-North Main Street,06-037-1103,AQS
4/17/15,54,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
4/18/15,60,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/19/15,88,Moderate,Glendora,06-037-0016,AQS
4/20/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/21/15,61,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/22/15,56,Moderate,Glendora,06-037-0016,AQS
4/23/15,56,Moderate,Glendora,06-037-0016,AQS
4/24/15,51,Moderate,Glendora,06-037-0016,AQS
4/25/15,64,Moderate,Anaheim,06-059-0007,AQS
4/26/15,68,Moderate,Anaheim,06-059-0007,AQS
4/27/15,57,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/28/15,55,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/29/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
4/30/15,125,Unhealthy for Sensitive Groups,Long Beach-Route 710 Near Road,06-037-4008,AQS
5/1/15,74,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/2/15,74,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/3/15,68,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/4/15,59,Moderate,Reseda,06-037-1201,AQS
5/5/15,69,Moderate,Long Beach (North),06-037-4002,AQS
5/6/15,54,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/7/15,55,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/8/15,50,Good,Reseda,06-037-1201,AQS
5/9/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/10/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/11/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/12/15,63,Moderate,Reseda,06-037-1201,AQS
5/13/15,63,Moderate,Glendora,06-037-0016,AQS
5/14/15,41,Good,Reseda,06-037-1201,AQS
5/15/15,46,Good,Reseda,06-037-1201,AQS
5/16/15,53,Moderate,Reseda,06-037-1201,AQS
5/17/15,58,Moderate,Reseda,06-037-1201,AQS
5/18/15,79,Moderate,Long Beach (North),06-037-4002,AQS
5/19/15,54,Moderate,Glendora,06-037-0016,AQS
5/20/15,63,Moderate,Reseda,06-037-1201,AQS
5/21/15,60,Moderate,Reseda,06-037-1201,AQS
5/22/15,53,Moderate,Reseda,06-037-1201,AQS
5/23/15,54,Moderate,Reseda,06-037-1201,AQS
5/24/15,60,Moderate,Reseda,06-037-1201,AQS
5/25/15,68,Moderate,Reseda,06-037-1201,AQS
5/26/15,72,Moderate,Reseda,06-037-1201,AQS
5/27/15,68,Moderate,Glendora,06-037-0016,AQS
5/28/15,71,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/29/15,89,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/30/15,99,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
5/31/15,85,Moderate,Reseda,06-037-1201,AQS
6/1/15,80,Moderate,Reseda,06-037-1201,AQS
6/2/15,63,Moderate,Reseda,06-037-1201,AQS
6/3/15,64,Moderate,Reseda,06-037-1201,AQS
6/4/15,64,Moderate,Reseda,06-037-1201,AQS
6/5/15,64,Moderate,Reseda,06-037-1201,AQS
6/6/15,63,Moderate,Long Beach (North),06-037-4002,AQS
6/7/15,64,Moderate,Reseda,06-037-1201,AQS
6/8/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/9/15,61,Moderate,Reseda,06-037-1201,AQS
6/10/15,67,Moderate,Reseda,06-037-1201,AQS
6/11/15,62,Moderate,Reseda,06-037-1201,AQS
6/12/15,81,Moderate,Reseda,06-037-1201,AQS
6/13/15,71,Moderate,Reseda,06-037-1201,AQS
6/14/15,71,Moderate,Reseda,06-037-1201,AQS
6/15/15,77,Moderate,Reseda,06-037-1201,AQS
6/16/15,86,Moderate,Glendora,06-037-0016,AQS
6/17/15,111,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
6/18/15,96,Moderate,Long Beach (South),06-037-4004,AQS
6/19/15,84,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/20/15,80,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/21/15,77,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/22/15,76,Moderate,Glendora,06-037-0016,AQS
6/23/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/24/15,72,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
6/25/15,72,Moderate,Glendora,06-037-0016,AQS
6/26/15,82,Moderate,Anaheim,06-059-0007,AQS
6/27/15,69,Moderate,Reseda,06-037-1201,AQS
6/28/15,70,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
6/29/15,70,Moderate,Reseda,06-037-1201,AQS
6/30/15,71,Moderate,Reseda,06-037-1201,AQS
7/1/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
7/2/15,66,Moderate,Reseda,06-037-1201,AQS
7/3/15,71,Moderate,Reseda,06-037-1201,AQS
7/4/15,111,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AQS
